cia_id,ofac_id,cia_name,ofac_name,cia_country,ofac_nationality,name_score,recommended_action
928d4f05-b0ba-5cf1-84d6-44838e4dc4a6,aefc9d4a-ee59-504a-bb2b-38969074ec6c,min aung hlaing,min aung hlaing,Burma,,100.0,AUTO_MERGE
c4b635e6-a2d9-5a9e-824d-c3d8d92a0728,5b17c30c-7c1c-5112-9ab8-415b36e32d58,mya tun oo,mya tun oo,Burma,,100.0,AUTO_MERGE
40dc6e88-31c2-58d0-9e4d-ca4288801a59,083c410c-62dc-51be-a045-685d8ab248d5,kan zaw,kan zaw,Burma,zm,100.0,AUTO_MERGE
a62082bb-02ac-54a1-a89f-a0e1812e97ab,ad2805d2-ea35-5cb9-b77b-c679abdeddcb,thet khaing win,thet khaing win,Burma,zm,100.0,AUTO_MERGE
e34a8c44-98dd-5ac0-bc86-3b7b3542af48,54c8d4bc-15b5-51d0-9721-332344f95224,myint kyaing,myint kyaing,Burma,zm,100.0,AUTO_MERGE
02c196a0-75e4-5a59-9330-bda79605215b,e7ad0206-0a8d-5ce7-a6ed-da51309bf46a,charlie than,charlie than,Burma,zm,100.0,AUTO_MERGE
d6349380-567c-5b96-abf4-ddcd3faa1f5a,767511b4-cd47-587c-888a-eaa38c4ae8cc,khin maung soe,khin maung soe,Burma,,100.0,AUTO_MERGE
8bfebf3d-d2e1-51f2-80ad-b9825a093331,86802f9b-c92c-534d-8ff9-714ab4fce450,thida oo,thida oo,Burma,zm,100.0,AUTO_MERGE
cdd8b352-c89d-507f-b19d-8850b50d0595,1ed53982-4ed2-55fc-8b62-c29724f94e49,soe win,soe win,Burma,,100.0,AUTO_MERGE
b05ed206-a84b-5bef-ad39-8bfa03419c61,ceb3204d-198c-575f-9e43-f0cfba38f11b,tin aung san,tin aung san,Burma,,100.0,AUTO_MERGE
9d54415d-7bd7-5fd1-a802-831857a8bde0,ea94ea94-8ff4-50f5-9f95-b89370a17a71,khin maung yi,khin maung yi,Burma,zm,100.0,AUTO_MERGE
916e711b-5ecb-5a02-affd-b48aaabf2bc2,258947f2-5523-5945-830d-ff9045bd70b8,mayra arevich marin,mayra arevich marin,Cuba,cu,100.0,AUTO_MERGE
5bae5d9f-85e1-5aa2-9cd8-48ba01a971aa,adba0e71-f456-579a-99a9-856c339d2bd0,vicente de la o levy,vicente de la o levy,Cuba,cu,100.0,AUTO_MERGE
cf058af9-663e-5535-8b82-78605ef54816,084ddaf3-1225-5943-b049-4579fb30fb60,lazaro alberto alvarez casas,lazaro alberto alvarez casas,Cuba,,100.0,AUTO_MERGE
914227d7-ea88-56fa-8eb9-2ab9f53c5bd9,a13be4ad-c295-5db7-a14d-b5b136bd6ec5,alvaro lopez miera,alvaro lopez miera,Cuba,cu,100.0,AUTO_MERGE
dbd56978-3c91-5cb4-a160-a74b25559ff1,dd5df561-497b-5864-a00e-77d1aa004542,oscar rolando castro,oscar rolando castro,El Salvador,sv,100.0,AUTO_MERGE
e91b66bd-423a-5eda-98ed-290a3b48d3b3,898d6682-43bc-5831-b7f3-59a0e20adcd3,esmail khatib,esmail khatib,Iran,ir,100.0,AUTO_MERGE
f9c11f75-2319-572a-8e2f-c836357552e5,27cd710a-4ea3-532d-aa47-f386f832cb57,jong un kim,jong un kim,"Korea, North",,100.0,AUTO_MERGE
215fc3a7-2dba-54d1-877b-cdbd40681523,8d06c9b6-acc5-5d74-8218-083c6bfb4599,ryong hae choe,ryong hae choe,"Korea, North",,100.0,AUTO_MERGE
b700b190-27ae-5cb1-941c-0a513750a653,40c9e172-e82a-525e-9db4-ff12994ba0f5,yong gil ri,yong gil ri,"Korea, North",kp,100.0,AUTO_MERGE
cd2e7228-83bc-53ae-9022-290f7f52a37f,a2cd88a3-e25a-5b1e-8921-c9e13a52648e,yo jong kim,yo jong kim,"Korea, North",,100.0,AUTO_MERGE
5f9ee52c-a87d-58ea-896c-92f65a548854,bf3c0770-67c1-5ebe-beb7-e1f150d76454,chol u yu,chol u yu,"Korea, North",,100.0,AUTO_MERGE
cc616297-3e2c-5035-bb7f-1fdb127363a5,118a1ba5-17c3-5ef9-b6da-2b5c86ddb3a2,song kim,song kim,"Korea, North",kp,100.0,AUTO_MERGE
e0f2e88f-fdb6-56ee-9e79-13bf5c088add,3e141a0e-c791-5a82-babd-0e3ed0e4ced1,rosa adelina barahona castro,rosa adelina barahona castro,Nicaragua,ni,100.0,AUTO_MERGE
a7414c3b-d668-5476-956f-f03b45da86ad,8762da47-803a-51e5-a2c1-6b6dbc6bbcd6,leonardo ovidio reyes ramirez,leonardo ovidio reyes ramirez,Nicaragua,ni,100.0,AUTO_MERGE
19d89641-666f-5f5d-a65b-d189af5e95fe,dd11d8a6-1c47-576a-bd7d-9e859c70bbae,vladimir vladimirovich putin,vladimir vladimirovich putin,Russia,ru,100.0,AUTO_MERGE
006ad23e-54a7-54a1-8822-9ce4af2635fc,ccaf6b49-9281-5587-af2c-005ad0adc2c5,mikhail vladimirovich mishustin,mikhail vladimirovich mishustin,Russia,ru,100.0,AUTO_MERGE
19ff653a-9fd8-5e8e-9100-5ac9c86d729d,6b275edd-e429-5f28-9c99-c3211b6641ed,denis valentinovich manturov,denis valentinovich manturov,Russia,ru,100.0,AUTO_MERGE
42defa76-8f86-50dd-aa3e-996fc951a68e,42f58d87-1016-59ae-b157-d0cec815bd2a,tatyana alekseyevna golikova,tatyana alekseyevna golikova,Russia,ru,100.0,AUTO_MERGE
e88ec916-09a6-5abb-b9eb-c436c3385409,5ca9c293-7375-5c63-9e9a-5200c0d7acb2,marat shakirzyanovich khusnullin,marat shakirzyanovich khusnullin,Russia,ru,100.0,AUTO_MERGE
e596913c-6bee-572c-9253-b056bad653ec,05b6020e-de54-519e-a17b-bd619174085a,yuriy petrovich trutnev,yuriy petrovich trutnev,Russia,ru,100.0,AUTO_MERGE
b45b6c16-05c3-5345-95eb-c1c6135f61b2,cad6a2a0-e6f0-5a52-b5c5-4660dc15d508,aleksandr valentinovich novak,aleksandr valentinovich novak,Russia,ru,100.0,AUTO_MERGE
7577e6ac-6813-5c14-a64b-543cff310d82,9e4709db-f150-56f6-809e-1bce23cf8674,aleksandr vyacheslavovich kurenkov,aleksandr vyacheslavovich kurenkov,Russia,ru,100.0,AUTO_MERGE
dcec7de1-abdf-59fb-b307-d4eefda190be,0e064bb3-a50f-5bae-af67-57357b865538,olga borisovna lyubimova,olga borisovna lyubimova,Russia,ru,100.0,AUTO_MERGE
a1ba40bc-1093-5b3a-8915-c71338aae763,9d3ea8b8-40c8-5832-b9a0-9f37fa1f151c,andrey removich belousov,andrey removich belousov,Russia,ru,100.0,AUTO_MERGE
baf13575-cd11-5c0c-ae96-f537015d05c2,ab94fba2-cb4d-592a-b94a-f3bae7188131,aleksey olegovich chekunkov,aleksey olegovich chekunkov,Russia,ru,100.0,AUTO_MERGE
5ae8202c-5c03-5346-971f-d088c5aae8ef,e7a1f037-c48f-5181-942a-45d5210ccd4f,maksut igorevich shadayev,maksut igorevich shadayev,Russia,ru,100.0,AUTO_MERGE
df456803-12e3-51a9-be87-159ecd3813eb,0172217b-6313-5cad-9df7-3fee5525e210,anton germanovich siluanov,anton germanovich siluanov,Russia,ru,100.0,AUTO_MERGE
5e7ae156-a13d-5428-a59e-f95c95f775d2,5eac0254-436b-547c-bfea-d19ba3003535,anton andreyevich alikhanov,anton andreyevich alikhanov,Russia,ru,100.0,AUTO_MERGE
ed18924e-5c9b-5e5b-803d-27f2be535e3b,ef39e7fb-9b64-587e-b13f-7ab97c902d4e,anton olegovich kotyakov,anton olegovich kotyakov,Russia,ru,100.0,AUTO_MERGE
cd6c171d-c9ca-554f-891b-755908ea691e,12993ca2-31ca-5a99-b0ed-d4af2bdddcc7,aleksandr aleksandrovich kozlov,aleksandr aleksandrovich kozlov,Russia,ru,100.0,AUTO_MERGE
fbee7b65-a0d0-5c1f-b1ab-b1bba5553a9b,f65fb88c-0393-5536-af04-a4a5cba3e4e0,valeriy nikolayevich falkov,valeriy nikolayevich falkov,Russia,ru,100.0,AUTO_MERGE
d6e33049-9c30-57e4-8fa8-e9317955ad2e,61017f97-ff10-50ab-bd07-68bb3bb78df7,mikhail vladimirovich degtyarev,mikhail vladimirovich degtyarev,Russia,ru,100.0,AUTO_MERGE
dbe82bd4-dc46-57b0-b0e4-d46ff1522618,642ef1b3-60d2-50a2-8857-4bfb5551847a,roman vladimirovich starovoyt,roman vladimirovich starovoyt,Russia,ru,100.0,AUTO_MERGE
cc74e525-c18d-5f6c-8a8b-ea66a557c6bc,0a81da37-a95c-5597-abc7-32b34d6c5eb1,sergey yevgenyevich naryshkin,sergey yevgenyevich naryshkin,Russia,ru,100.0,AUTO_MERGE
a7ef6f2b-def0-5e28-8b24-11994bcbf1a1,bf4ed30c-c5b8-514e-a182-2cf05077c2fe,elvira sakhipzadovna nabiullina,elvira sakhipzadovna nabiullina,Russia,ru,100.0,AUTO_MERGE
5a40938c-c4cf-5c03-9c07-57752fe5b7b4,8d63a8fa-433f-52b5-8ddd-c52e235ef793,nenad popovic,nenad popovic,Serbia,rs,100.0,AUTO_MERGE
aa6b103e-39e7-59b0-9f95-7e0a0b2ee9ab,ac0ba7ec-63f2-5af5-82bf-de0a04e2c038,taban deng gai,taban deng gai,South Sudan,ss,100.0,AUTO_MERGE
39798edd-3bf5-5997-8566-aab86af8af9a,5a4c48bd-79d7-5768-9551-ef0058fdfcfc,martin elia lomuro,martin elia lomuro,South Sudan,,100.0,AUTO_MERGE
847c616c-7fac-5e18-8cd4-83659e454a1f,affd01c7-7dc5-5838-b9e3-b7ba54072d68,michael makuei lueth,michael makuei lueth,South Sudan,ss,100.0,AUTO_MERGE
efd0110e-aa67-5e16-8d24-70ed37d57d84,45af64cb-b7e9-5f82-baff-16aa6248caa8,diosdado cabello rondon,diosdado cabello rondon,Venezuela,,100.0,AUTO_MERGE
74c5a8b5-73c1-51e5-879f-45797a60e50b,b01d289b-7a09-5a14-84ef-26064268e81b,vladimir padrino lopez,vladimir padrino lopez,Venezuela,ve,100.0,AUTO_MERGE
be794450-1d28-5aeb-8689-c472c3831c2a,38a38392-3af8-5618-b95d-bb829bb533dd,emmerson dambudzo mnangagwa,emmerson dambudzo mnangagwa,Zimbabwe,zw,100.0,AUTO_MERGE
a7f6b2f9-1666-5d11-966d-b03d88a6038c,40043aef-09c4-5627-b200-4043d9116191,dmitriy nikolayevich chernyshenko,dmitriy nikolaevich chernyshenko,Russia,ru,98.46,AUTO_MERGE
f6fc2069-2869-5228-bae4-9e65d297ee4d,58824435-8c8e-5c08-bf22-343a10e865a8,dmitriy yuriyevich grigorenko,dmitriy yuryevich grigorenko,Russia,ru,98.25,AUTO_MERGE
f11ad005-002c-53ae-9cda-c70654fa1f7d,6ab2c489-99a1-57c0-bdba-e308e53d660e,vitaliy gennadyevich savelyev,vitaly gennadyevich savelyev,Russia,ru,98.25,AUTO_MERGE
29a39d94-a45e-5891-a61a-73c87f60aa6c,55e23a00-c425-5ddd-8160-7592083ecc39,konstantin anatolyevich chuychekno,konstantin anatolyevich chuychenko,Russia,ru,97.06,AUTO_MERGE
e4a15ba7-8373-5eee-9122-61513ebfe98a,06cd5ef0-1e9f-5896-bb5f-8683a58dd6aa,mohsen pak-nejad,mohsen paknejad,Iran,ir,96.77,AUTO_MERGE
937ff010-fc55-517b-bce3-bc1e78fa761d,06fb3a59-958b-5543-ac09-61af4e8ee614,jafar hassan,hassan jafari,Jordan,ir,96.0,AUTO_MERGE
b34bfe19-0003-548f-8bb3-afa10a3f7a47,cbd5574b-be95-5c3d-985a-09ecf5aa0b45,irek envarovich fayzullin,irek envarovich faizullin,Russia,ru,96.0,AUTO_MERGE
9f7f1740-b4dd-5baa-9f5c-0df51713cbf6,e2cf87c6-53f3-5425-9a53-7060cadb523b,sergey viktorovich lavrov,sergei viktorovich lavrov,Russia,ru,96.0,AUTO_MERGE
85da5294-bb31-5f57-9cb1-bc4d767cffe5,8fc29b19-eea0-5709-8e09-6abc99614982,igor viktorovich krasnov,igor victorovich krasnov,Russia,ru,95.83,AUTO_MERGE
1bacae61-7d31-58f3-9a3d-c8f20b1d5fcd,27cd710a-4ea3-532d-aa47-f386f832cb57,jong sun kim,jong un kim,"Korea, North",,95.65,AUTO_MERGE
f21fad05-0e28-5492-a4e5-4ca30560fe5c,4ec04ba4-e0f9-5e74-8dde-50b4f93866e8,vladimir aleksandrovich kolokoltsev,vladimir alexandrovich kolokoltsev,Russia,ru,95.65,AUTO_MERGE
cbc77aa2-a2ff-59f0-b3ba-597e679e7517,16b5609a-dca7-5bde-905a-db16dcaf2f23,maksim gennadyevich reshetnikov,maxim gennadyevich reshetnikov,Russia,ru,95.08,AUTO_MERGE
7761ba11-48e5-505e-9dac-b7014646adda,66d6b25f-29af-5b8e-ac7d-142ad6d3f6f0,tun aung,htun aung,Burma,zm,94.12,AUTO_MERGE
a94b2e8e-85d9-507b-a1ca-4de6aa6b733e,7d5925c3-36b7-555b-ab91-d969cc28db32,kyong chol choe,chol ryong choe,"Korea, North",kp,93.33,AUTO_MERGE
6d580cd0-246d-59b1-92c3-1232ce7035b2,a0ab2f33-f730-54b9-85db-4d9ed14f6087,muhammad haidar,muhammad haydar,Lebanon,,93.33,AUTO_MERGE
d6349380-567c-5b96-abf4-ddcd3faa1f5a,8c14a324-a725-588f-ab07-0cdb0543a4a6,khin maung soe,khin maung swe,Burma,zm,92.86,AUTO_MERGE
ae0688ac-473c-5dd1-9ef0-30bcdc52c48b,d52388c2-d539-5997-8f04-bd7eb3a0a6be,sergey kuzhugetovich shoygu,sergei kuzhugetovich shoigu,Russia,ru,92.59,AUTO_MERGE
7ec37335-6739-5157-8326-99c88df24edb,eef70c62-3e7f-5c71-b928-5a56f76e3e63,ahmed ibrahim,ahmed brahimi,Ghana,dz,92.31,AUTO_MERGE
257b7973-9bb2-564f-b8c5-1a55c239efc9,86f78ac3-c178-5fef-8754-9e7ec6d5010b,chung song kim,song hun kim,"Korea, North",kp,92.31,AUTO_MERGE
aa56f7cd-8124-55bc-8dcd-de6ced13604a,48e724dd-d5ab-585b-b85d-1076ac67409c,mohamed ameen,mohamad ameen,Maldives,mv,92.31,AUTO_MERGE
04a9459c-862c-5276-b1cd-bbe1192b9e80,f271c748-afeb-51eb-9bbc-1a9d3254722d,abdur rahman,abdur rehman,Bangladesh,pk,91.67,AUTO_MERGE
47ad2603-a5d2-5b3c-b035-391c6c9fadf7,86f78ac3-c178-5fef-8754-9e7ec6d5010b,song jun kim,song hun kim,"Korea, North",kp,91.67,AUTO_MERGE
19d89641-666f-5f5d-a65b-d189af5e95fe,90438f3b-5de3-5e92-abda-5361dff13595,vladimir vladimirovich putin,vladimir vladimirovich gugnin,Russia,ru,91.23,AUTO_MERGE
9dd1c54f-031f-527d-8547-9eb0587a88e2,903e5f1c-eb99-55f4-9e34-351387a5c350,gerardo izquierdo torres,gerardo jose izquierdo torres,Venezuela,,90.57,AUTO_MERGE
cec684dc-2ef7-50fc-9921-bcab453a3700,6aee11ee-d71f-5a34-96bb-abec43085bcf,mohammad hassan akhund,mohammad aman akhund,Afghanistan,,90.48,AUTO_MERGE
cd6c171d-c9ca-554f-891b-755908ea691e,0b0d6f4b-9de1-5c54-a532-87783a0cfa57,aleksandr aleksandrovich kozlov,aleksandr aleksandrovich vyalov,Russia,ru,90.32,AUTO_MERGE
0a20c63b-a3e5-5b97-9a17-2fa6525d1530,76cbb8ea-cae4-5a3d-bd31-b4c653c81695,aleksandr vasilyevich bortnikov,alexander vasilievich bortnikov,Russia,ru,90.32,AUTO_MERGE
89f001cd-ac00-5e5c-aa4e-decf21d1bc68,dcafa5b1-1147-51d8-aea6-aa17e9ea3984,nguyen van hung,van nguyen hoang,Vietnam,vn,90.32,AUTO_MERGE
8ff32fca-16f0-5fe7-a001-94a6de60c230,7dab843d-4fbe-5a3a-84c0-c2d3b44d7477,ricardo menendez prieto,ricardo jose menendez prieto,Venezuela,ve,90.2,AUTO_MERGE
a62082bb-02ac-54a1-a89f-a0e1812e97ab,8da7708b-aef1-59ff-91ab-ee6bd25e0750,thet khaing win,naing win thet,Burma,,89.66,REVIEW
a94b2e8e-85d9-507b-a1ca-4de6aa6b733e,cf8b6a77-2e92-5cbe-b1a0-def677d911eb,kyong chol choe,song chol choe,"Korea, North",kp,89.66,REVIEW
19d89641-666f-5f5d-a65b-d189af5e95fe,704dc740-0dac-5ad4-a26e-2b42cacc16f4,vladimir vladimirovich putin,vladimir vladimirovich gutenev,Russia,ru,89.66,REVIEW
19d89641-666f-5f5d-a65b-d189af5e95fe,be79f221-098c-54ef-9b32-2dd1efb26e31,vladimir vladimirovich putin,vladimir vladimirovich plyakin,Russia,ru,89.66,REVIEW
6dad241d-ae83-5d82-a5f1-7d5b6ce19ca5,4e0f7503-c8f3-52ed-b788-f0ff28b842ec,ahmed bouhali,ahmed el bouhali,Tunisia,ma,89.66,REVIEW
cd6c171d-c9ca-554f-891b-755908ea691e,db8e2b6e-c6dc-5502-ba2a-10e7e5d92c59,aleksandr aleksandrovich kozlov,aleksandr aleksandrovich volosovik,Russia,ru,89.23,REVIEW
8a1044d0-7439-5a75-8459-304278555b71,e839d764-3c3e-594d-ad0d-3d4876ef5f35,sirajuddin haqqani,nasiruddin haqqani,Afghanistan,,88.89,REVIEW
f244bdca-f3a8-5d54-9b1b-cc2e39bc638f,9e35ac25-86f8-5492-92db-d5253cc3f08d,yong hwan kim,pyong chan kim,"Korea, North",,88.89,REVIEW
98d46526-22bc-5092-acc7-39b7ef15df5f,b12bfb7b-7ecf-5b52-be8f-f18b38e15c8d,yu il kim,su il kim,"Korea, North",,88.89,REVIEW
d20da13a-5329-5e8a-992a-0d941f901075,1063c7e3-70eb-5930-9681-33e3faa88826,muhammad said,muhammad saeed,Libya,pk,88.89,REVIEW
cd6c171d-c9ca-554f-891b-755908ea691e,5b97917a-f8c5-5ca0-82db-aa6334d73529,aleksandr aleksandrovich kozlov,aleksandr aleksandrovich pushkov,Russia,ru,88.89,REVIEW
19d89641-666f-5f5d-a65b-d189af5e95fe,194b6c2a-b8b3-5fb0-a107-8da37fdf9b2e,vladimir vladimirovich putin,vladimir vladimirovich sipyagin,Russia,ru,88.14,REVIEW
c97a4c11-6d14-5bc3-824a-8a5f027534ab,cd75bd05-5c73-53bc-b023-0e77b8d3d046,sun nam kang,sung nam jang,"Korea, North",,88.0,REVIEW
c97a4c11-6d14-5bc3-824a-8a5f027534ab,ea40305e-63ea-5a3c-992f-c3a21b386cb5,sun nam kang,song nam kang,"Korea, North",,88.0,REVIEW
8b1dee5b-daf0-5406-864d-39df0f6300fe,be30c893-c359-50e2-8b51-59d5aa2f3e23,daniel risch,daniel frosch,Liechtenstein,,88.0,REVIEW
282b1c8b-c663-5680-b96a-f2b3c71004d4,1e3d66e2-a842-5f83-ad40-51d4d0a8e0b0,calinie mbarushimana,callixte mbarushimana,Burundi,,87.8,REVIEW
4fd54716-bb30-50c6-9919-8026487ccdcf,9b11daa9-4be9-59ce-87c0-834fdf2e0c4b,ali hoseini-khamenei,ali husseini khamenei,Iran,,87.8,REVIEW
f2f02e00-906c-5e6f-b455-ea782eaa5d1c,fb3c7487-becc-5435-8031-0c07682d7004,julio garcia zerpa,julio jose garcia zerpa,Venezuela,,87.8,REVIEW
cd6c171d-c9ca-554f-891b-755908ea691e,12d0ea22-02b9-5578-8767-16770cb3864b,aleksandr aleksandrovich kozlov,aleksandr aleksandrovich mukhanov,Russia,ru,87.5,REVIEW
e74015a4-94f9-5bf9-ad3a-aa0abcc16c92,e5e98089-536e-595f-b9cf-1edcc07dc3b7,aleksandar vucic,aleksandar vulin,Serbia,rs,87.5,REVIEW
fe28a4c6-9d92-5e4e-804f-4f03a1c3d81e,63f715bb-d83b-5a0a-875a-735db749253e,muhammad abdallah mahmoud,muhammad mahmud mahalla,Sudan,sy,87.5,REVIEW
363a881e-6838-5bf9-8cb0-769d8385846e,4d22fdcf-1d91-55ea-a4f0-ce34350a6018,chu chen,zhu chen,Taiwan,,87.5,REVIEW
cd6c171d-c9ca-554f-891b-755908ea691e,e3c4c70b-0f96-50e3-adf7-72f69fe98492,aleksandr aleksandrovich kozlov,aleksandr aleksandrovich ivanov,Russia,ru,87.1,REVIEW
f9c11f75-2319-572a-8e2f-c836357552e5,d00fc5c9-78c0-5d13-a35e-28ce581e024f,jong un kim,jong man kim,"Korea, North",kp,86.96,REVIEW
db80e495-6578-5cc9-8b23-b56d2587e7a3,62242724-dd04-5f07-8346-f4298bcc659d,song nam kim,nam ung kim,"Korea, North",kp,86.96,REVIEW
d0495abd-8e55-518b-87c8-ff979fa8ac3f,cbdf6cc1-c16a-5fe1-886e-2b0d74882a0b,in chol pak,chol nam pak,"Korea, North",kp,86.96,REVIEW
a02de48a-caf5-5505-ba51-5a38d2e02d9f,4c764df4-42ba-5b64-9a59-3fe70dd4d74f,sok chol jo,chol song jo,"Korea, North",kp,86.96,REVIEW
3dd10b94-ab62-5ae5-a73e-60104d5a70c8,7095b7ba-8ba4-502e-8a16-580cc3e473cf,chol san ri,song chol ri,"Korea, North",,86.96,REVIEW
8cd0c6e3-caab-55c5-94be-0cc31f55b070,f26aaf2e-a651-517b-aba9-903eb8ff7e80,jong ho yun,un jong choe,"Korea, North",kp,86.96,REVIEW
47ad2603-a5d2-5b3c-b035-391c6c9fadf7,9eddb6a0-baeb-5b5c-b6f2-4b9577c189b7,song jun kim,yong ju kim,"Korea, North",kp,86.96,REVIEW
4741c842-aa4f-5cb6-9d00-509b4d4be52a,27cd710a-4ea3-532d-aa47-f386f832cb57,jong nam kim,jong un kim,"Korea, North",,86.96,REVIEW
cc81e615-d493-582e-afc5-946ac6cfb9f5,3a697517-1a1e-5bbd-8932-f90088886e14,chol su kim,chol sam kim,"Korea, North",kp,86.96,REVIEW
cc81e615-d493-582e-afc5-946ac6cfb9f5,3a3dfc35-72b0-569a-82a6-51179e0d7e1e,chol su kim,mun chol kim,"Korea, North",kp,86.96,REVIEW
cc81e615-d493-582e-afc5-946ac6cfb9f5,17547bf6-7d8b-554a-9a98-f93e9fed0066,chol su kim,sok chol kim,"Korea, North",kp,86.96,REVIEW
b45b6c16-05c3-5345-95eb-c1c6135f61b2,8dc59fe1-c9bc-5884-981f-090a59f0f708,aleksandr valentinovich novak,aleksandr valentinovich sokolov,Russia,ru,86.67,REVIEW
93f38396-d1ec-5818-a7cd-bd96fce10d48,0109bef3-6e02-5c31-9f9f-f4f638c6df14,muhammad bashir,muhammad ashraf,Sudan,,86.67,REVIEW
f2e02018-97fc-5ed8-8cb3-ae77b8ded28e,fe223057-8866-5d1a-b1aa-dcfc93db0b4e,daniella cabello contreras,daniella desiree cabello contreras,Venezuela,ve,86.67,REVIEW
0a3f10af-c114-59f6-886c-5cd7531e25b3,01309e39-4ec0-5669-80e5-d04ca108ef53,ahmed hassan adan,adnan s. hasan ahmed,Somalia,,86.49,REVIEW
c77a5bb1-cfd5-5872-9ec9-9811ba60728d,965a6cd1-096d-5eb6-a3da-47c2d8d0fcde,benjamin bol mel kuol,benjamin bol mel,South Sudan,ss,86.49,REVIEW
d9756efe-cc99-53be-a5ab-5d628cdf6f9e,467218c6-82ce-5327-85be-929955b88210,abd al-fatah al-burhan,abdel fattah al-burhan,Sudan,sd,86.36,REVIEW
505bfc47-dc10-5cb8-a9fb-b8b04e6cbae4,dbfba397-f2fc-5c9c-a9f8-b7ce48e183e1,mohammad khalid,mohammad khan,Afghanistan,,85.71,REVIEW
505bfc47-dc10-5cb8-a9fb-b8b04e6cbae4,c2727085-9b69-55cf-9ebe-130e0a127df8,mohammad khalid,mohammad khalilzadeh,Afghanistan,ir,85.71,REVIEW
0db21a51-a208-5a27-b570-c3ffb7ec8880,5f7cbd8b-613a-5551-9c5f-ec31a3d7a9fc,nazmi mohammad,mohammad yazdi,Brunei,ir,85.71,REVIEW
c9f9dd2c-96d5-524e-b096-94ba08721700,12044e5a-4765-5190-89e1-eadf8ec16847,muhammad zaki,muhammad yazbak,Egypt,,85.71,REVIEW
016b063f-7385-5c67-abd3-c36f628d8705,87285f8f-9572-5b10-abba-1e79dc0b295e,o su yong,yong su jong,"Korea, North",kp,85.71,REVIEW
250b1f74-d92a-5b8e-81fd-91f406313e55,57a04792-22f6-5407-b134-7ae3891e193f,chun song jang,song chol jang,"Korea, North",kp,85.71,REVIEW
8639f885-43c9-542a-9578-ac1908236383,96c5b369-8173-58f8-bd31-63253c0fff4a,ho-jung yun,ho-jin yun,"Korea, South",kp,85.71,REVIEW
a7dfd61c-afd0-5390-b56d-fb02220c91d9,98305f70-cf0a-5d57-9a60-3f4721cbd2ad,ibrahim iskandar,sadr ibrahim,Malaysia,,85.71,REVIEW
19d89641-666f-5f5d-a65b-d189af5e95fe,1485105c-b6e8-5b99-ae34-444f39c35522,vladimir vladimirovich putin,vladimir vladimirovich mazur,Russia,ru,85.71,REVIEW
d39cb8e2-c5f0-530e-9a21-add7718153a5,2bb0f74e-ea05-5834-8b39-07429821f80b,ali haji adan,halima adan ali,Somalia,ke,85.71,REVIEW
9578ba7b-ed8c-5041-96d8-36f346c46e40,02224695-175e-5a14-af75-11d3bb8b9cce,tariq muhammad abdallah salih,muhammad 'abdallah salih sughayr,Yemen,sa,85.25,REVIEW
1faee9eb-5c8b-53c2-b67b-1451fee7a69b,b13dea38-305a-5902-968d-6674a2bb5354,muhammad abdallah al-gargawi,muhammad 'abdallah al-amin,United Arab Emirates,lb,85.19,REVIEW
232fd0c4-a3d4-5fa6-9946-5e73644c54cf,e9acd7da-0849-5e56-a024-e2c389bda2da,constantino chiwenga,constantino guveya chiwenga,Zimbabwe,zw,85.11,REVIEW
ba85892a-2410-57a7-8218-715f1e6d6cfb,8fb7e4d6-3d70-5a4c-8e4c-6ac423127cb0,muhammad abdallah,muhammad yusif abdallah,Kuwait,,85.0,REVIEW
1f73df7f-690d-505b-a1a2-f2bc1c2228b8,beec7640-bc85-5529-98b7-8db713ac42cb,yusuf mohamed adan,liibaan yousuf mohamed,Somalia,so,85.0,REVIEW
19d89641-666f-5f5d-a65b-d189af5e95fe,4b5d92e3-323d-545b-bf29-a732803b1c65,vladimir vladimirovich putin,vladimir vladimirovich burmatov,Russia,ru,84.75,REVIEW
d6e33049-9c30-57e4-8fa8-e9317955ad2e,26a83c3b-1a8e-5ac5-ba41-05129d653657,mikhail vladimirovich degtyarev,mikhail vladimirovich kizeev,Russia,ru,84.75,REVIEW
f244bdca-f3a8-5d54-9b1b-cc2e39bc638f,9f155f2b-eaf7-51fe-8216-80ab1dfa4deb,yong hwan kim,kyong hak kim,"Korea, North",kp,84.62,REVIEW
257b7973-9bb2-564f-b8c5-1a55c239efc9,c7e8919d-4a6b-5a2b-98bc-f25c625b10d8,chung song kim,chun song ri,"Korea, North",,84.62,REVIEW
d20da13a-5329-5e8a-992a-0d941f901075,929a4ee8-2818-579d-8194-245b03fa041d,muhammad said,muhammad suri,Libya,,84.62,REVIEW
151f7c69-018e-5415-a4f3-dec4847a0cbb,a61cf931-20d1-5e97-b8d3-fc6742411678,mohamed saeed,mohamed sa'id,Maldives,,84.62,REVIEW
b4fd7a0c-c5d1-50fe-a8ed-3a39360f756d,24a07ff0-90df-54ad-82a7-04f668c60e4f,ibrahim faisal,ibrahim aqil,Maldives,lb,84.62,REVIEW
9f7f1740-b4dd-5baa-9f5c-0df51713cbf6,4439d5d0-1348-5060-b2d8-f7314f1a6624,sergey viktorovich lavrov,sergey viktorovich altukhov,Russia,ru,84.62,REVIEW
9f7f1740-b4dd-5baa-9f5c-0df51713cbf6,8abd0165-6ed8-5e09-8e08-b77a05048caf,sergey viktorovich lavrov,sergei viktorovich bulgakov,Russia,ua,84.62,REVIEW
